,var,rel.inf,,,
ZAGG_PSPINAL,ZAGG_PSPINAL,0.004681261,,,
ZAGG_CA00,ZAGG_CA00,0.00466879,,,
ZAGG_ICAT,ZAGG_ICAT,0.004631476,,,
MINMOB_OTHERNONMTG,MINMOB_OTHERNONMTG,0.004575491,,,
ZAGG_IMCO,ZAGG_IMCO,0.004545987,,,
ZAGG_NOC19_0,ZAGG_NOC19_0,0.004425496,,,
ZAGG_IDNAT,ZAGG_IDNAT,0.004407658,,,
ZAGG_IOPT,ZAGG_IOPT,0.004366077,,,
ZAGG_TUOC_I,ZAGG_TUOC_I,0.004353391,,,
ZAGG_C210PDV,ZAGG_C210PDV,0.004347724,,,
BUYER,BUYER,0.004330307,,,
ZAGG_MEDSUP_5,ZAGG_MEDSUP_5,0.004325666,,,
OSTATION,OSTATION,0.004323257,,,
ESTDII30,ESTDII30,0.004282834,,,
ZAGG_OABIGTLL,ZAGG_OABIGTLL,0.004264165,,,
ELIM_PRD_BFOR,ELIM_PRD_BFOR,0.004227192,,,
ZAGG_SPENDPAT_06,ZAGG_SPENDPAT_06,0.004025308,,,
ZAGG_SPENDPAT_13,ZAGG_SPENDPAT_13,0.003978472,,,
PRCNT_STUDENTLOAN,PRCNT_STUDENTLOAN,0.003945878,,,
ZAGG_ISSC,ZAGG_ISSC,0.00393294,,,
ZAGG_OAWOMEN,ZAGG_OAWOMEN,0.00392855,,,
HIGHCRD_BANKCARDCREDIT,HIGHCRD_BANKCARDCREDIT,0.003928425,,,
ZAGG_ACNT,ZAGG_ACNT,0.003925687,,,
ZAGG_BUYER,ZAGG_BUYER,0.003914534,,,
NUM_HELOC_60DPD,NUM_HELOC_60DPD,0.00390638,,,
C210PDUC,C210PDUC,0.003878267,,,
ZAGG_TUOC_F,ZAGG_TUOC_F,0.003810906,,,
ZAGG_C210PSU,ZAGG_C210PSU,0.003802356,,,
BINARY_NS_RAWSCR,BINARY_NS_RAWSCR,0.003724656,,,
ISBB,ISBB,0.003684545,,,
ZAGG_CA16,ZAGG_CA16,0.003667217,,,
PART_R,PART_R,0.003565849,,,
NUM_CONSUMERFINANCE,NUM_CONSUMERFINANCE,0.00351596,,,
IRTRLENT,IRTRLENT,0.003495828,,,
ZAGG_PCHRNCPN,ZAGG_PCHRNCPN,0.00349323,,,
ZAGG_OATEEN,ZAGG_OATEEN,0.003480767,,,
ISMTRCRS,ISMTRCRS,0.003474468,,,
ZAGG_TUOC_Q,ZAGG_TUOC_Q,0.003441727,,,
ZAGG_HOMSTAT_R,ZAGG_HOMSTAT_R,0.003408548,,,
AOSA,AOSA,0.00330918,,,
BAL_TOTALALLCREDIT_30TO59DPD,BAL_TOTALALLCREDIT_30TO59DPD,0.003230784,,,
HIGHCRD_CONSUMERFINANCE,HIGHCRD_CONSUMERFINANCE,0.00320421,,,
IOMO,IOMO,0.003195901,,,
ZAGG_IRBEST,ZAGG_IRBEST,0.003133883,,,
ZAGG_ANAS,ZAGG_ANAS,0.003106929,,,
NUM_AUTOFINANCE_NEW,NUM_AUTOFINANCE_NEW,0.003015441,,,
PMENOPS,PMENOPS,0.002838504,,,
PGASTRIT,PGASTRIT,0.002827971,,,
MINMOB_RETAILCREDIT,MINMOB_RETAILCREDIT,0.002723976,,,
ZAGG_IMMA,ZAGG_IMMA,0.002463606,,,
CNT_POL,CNT_POL,0,,,NUM_NONMTGCREDIT_60DPD
MISSING_CREDIT_IND,MISSING_CREDIT_IND,0,,,NUM_RETAILCREDIT_60DPD
MISSING_ZAGG_IND,MISSING_ZAGG_IND,0,,,NUM_STUDENTLOAN_60DPD
AACN,AACN,0,,,PRCNT_NONMTGCREDIT
AADD,AADD,0,,,ZAGG_APT_P
AALL,AALL,0,,,ZAGG_BAVGDOLL
AALZ,AALZ,0,,,ZAGG_BAVGOFDL
AANG,AANG,0,,,ZAGG_BAVGONDL
AANX,AANX,0,,,ZAGG_BC_M
AART,AART,0,,,ZAGG_BOFDOLLR
AASM,AASM,0,,,ZAGG_BOFORDER
AASN,AASN,0,,,ZAGG_BONDOLLR
AAST,AAST,0,,,ZAGG_BONORDER
ABBA,ABBA,0,,,ZAGG_BPAMEXY
ABBL,ABBL,0,,,ZAGG_BPCREDIT
ABCE,ABCE,0,,,ZAGG_BPVISA
ABCK,ABCK,0,,,ZAGG_BTOTLDOL
ABED,ABED,0,,,ZAGG_BTOTLORD
ABLD,ABLD,0,,,ZAGG_BUYER
ABRC,ABRC,0,,,ZAGG_C210APVT
ABRT,ABRT,0,,,ZAGG_C210BLU
ACDE,ACDE,0,,,ZAGG_C210BPVT
ACFS,ACFS,0,,,ZAGG_C210CIP
ACGH,ACGH,0,,,ZAGG_C210EBI
ACLD,ACLD,0,,,ZAGG_C210HMI
ACNC,ACNC,0,,,ZAGG_C210HVA
ACNK,ACNK,0,,,ZAGG_C210MOB
